IAB1-Arts & Entertainment,,,Entertainment ,,Music ,,,,
Category ,Subject ,Name ,,,,,,,
IAB1 ,IAB1-1,Books & Literature ,Entertainment ,,Music ,,,,B2B
IAB1 ,IAB1-2,Celebrity Fan/Gossip,Entertainment ,,Music ,,,,Consumers 
IAB1 ,IAB1-3,Fine Art ,Entertainment ,,Music ,,,,Gender
IAB1 ,IAB1-4,Humor,Entertainment ,,Music ,,,,General 
IAB1,IAB1-5,Movies,Entertainment ,,Music ,,,,
IAB1,IAB1-6,Music,Entertainment ,,Music ,,,,
IAB1,IAB1-7,Television ,Entertainment ,,Music ,,,,
,,,,,,,,,
IAB2- Automotive ,,,Automotive ,,,,,,
Category ,Subject ,Name ,,,,,,,
IAB2,IAB2-1,Auto Parts,Automotive ,,,,,,
IAB2,IAB2-2,Auto Pairs,Automotive ,,,,,,
IAB2,IAB2-3,Buying/Selling Cars,Automotive ,,,,,,
IAB2,IAB2-4,Car Culture ,Automotive ,,,,,,
IAB2,IAB2-5,Certified Pre- Owned ,Automotive ,,,,,,
IAB2,IAB2-6,Convertible,Automotive ,,,,,,
IAB2,IAB2-7,Coupe,Automotive ,,,,,,
IAB2,IAB2-8,Crossover,Automotive ,,,,,,
IAB2,IAB2-9,Diesel ,Automotive ,,,,,,
IAB2,IAB2-10,Electric Vehicle,Automotive ,,,,,,
IAB2,IAB2-11,Hatchback,Automotive ,,,,,,
IAB2,IAB2-12,Hybrid,Automotive ,,,,,,
IAB2,IAB2-13,Luxury,Automotive ,,,,,,
IAB2,IAB2-14,Minivan,Automotive ,,,,,,
IAB2,IAB2-15,Motorcycles,Automotive ,,,,,,
IAB2,IAB2-16,Off-Road Vehicles,Automotive ,,,,,,
IAB2,IAB2-17,Performance Vehicles,Automotive ,,,,,,
IAB2,IAB2-18,Pickup,Automotive ,,,,,,
IAB2,IAB2-19,Road-Side Assistance ,Automotive ,,,,,,
IAB2,IAB2-20,Sedan ,Automotive ,,,,,,
IAB2,IAB2-21,Trucks & Accessories,Automotive ,,,,,,
IAB2,IAB2-22,Vintage Cars,Automotive ,,,,,,
IAB2,IAB2-23,Wagon ,Automotive ,,,,,,
,,,,,,,,,
IAB3-Business,,,Business ,,,,,,
